gameid,gamedate,home_teamid,away_teamid,home_win_avg_prev5,away_win_avg_prev5,home_points_avg_prev5,away_points_avg_prev5,home_opponent_points_avg_prev5,away_opponent_points_avg_prev5,home_assists_avg_prev5,away_assists_avg_prev5,home_blocks_avg_prev5,away_blocks_avg_prev5,home_steals_avg_prev5,away_steals_avg_prev5,home_fieldgoalsattempted_avg_prev5,away_fieldgoalsattempted_avg_prev5,home_fieldgoalspercentage_avg_prev5,away_fieldgoalspercentage_avg_prev5,home_threepointersattempted_avg_prev5,away_threepointersattempted_avg_prev5,home_threepointerspercentage_avg_prev5,away_threepointerspercentage_avg_prev5,home_freethrowsattempted_avg_prev5,away_freethrowsattempted_avg_prev5,home_freethrowspercentage_avg_prev5,away_freethrowspercentage_avg_prev5,home_reboundstotal_avg_prev5,away_reboundstotal_avg_prev5,home_foulspersonal_avg_prev5,away_foulspersonal_avg_prev5,home_turnovers_avg_prev5,away_turnovers_avg_prev5
22100154,2021-11-08,1610612747,1610612766,0.8,0.2,110.4,105.4,105.6,119.8,24.6,22,7.2,3.8,10.4,10.6,90.2,91.4,0.48640000000000005,0.43080000000000007,29.2,34.2,0.3742,0.3426,16.4,20.8,0.7542,0.7388000000000001,42.6,39.6,18.8,17,16.8,13.4
22100150,2021-11-08,1610612742,1610612740,0.8,0.2,108.4,96,106.6,108.8,20.6,20.4,5.4,4.4,5.8,7.8,86.8,88.2,0.4666,0.39480000000000004,41.2,37.4,0.3338,0.2988,20.6,18.6,0.649,0.8328,44.2,49.2,20,18.4,12.6,20.8
22100147,2021-11-08,1610612755,1610612752,0.8,0.8,111.4,111.8,102.2,105,24.2,22.2,6.8,5,9.2,8.2,82.6,87.4,0.5039999999999999,0.4638,33,36,0.38780000000000003,0.3714,18.2,23,0.8542,0.733,37.4,45.8,20.2,19.4,13.6,12.2
22100148,2021-11-08,1610612741,1610612751,0.6,0.6,108,106.8,102.2,108.8,23.4,23.4,5.8,4.6,8.6,4.4,88,81.8,0.441,0.475,27.2,34.2,0.3492,0.4236,25.2,18.8,0.8301999999999999,0.8046,43.2,44.4,17.4,17.4,10.4,17.2
22100152,2021-11-08,1610612744,1610612737,0.8,0.2,112.8,106.4,94,116.2,31.8,22.4,5.2,2.6,10.6,5,88.8,94,0.4758,0.442,47,28.2,0.37300000000000005,0.3364,14.4,17.6,0.7248,0.7882,49.4,49.8,19.8,15.8,16.8,13.8
22100156,2021-11-09,1610612762,1610612737,1,0,119.8,108.6,105,121.8,21.6,22.4,6.2,2.2,7.8,5.4,91.2,91.2,0.47939999999999994,0.45120000000000005,44.4,30.8,0.34280000000000005,0.362,22.2,19.4,0.799,0.7772,49.8,45.8,20,16.2,15.6,15.2
22100157,2021-11-09,1610612746,1610612757,0.6,0,105.6,100.6,99.6,116,24.2,22.2,4.4,5.2,11.4,8.8,91.4,89.6,0.42399999999999993,0.4282,42.6,40.4,0.3222,0.297,17.8,15.8,0.7846,0.7624000000000001,44.8,44,19.6,17.6,14.4,17.2
22100155,2021-11-09,1610612755,1610612749,0.8,0.6,108.8,109.2,100,109.4,24.8,21.8,6.2,4.4,9,9.2,82.6,86,0.48640000000000005,0.4574,33.8,36.4,0.375,0.3592,19.2,24.2,0.8532,0.726,39.8,45,18.6,18.6,13.4,16.2
22100162,2021-11-10,1610612745,1610612765,0.4,0,108.6,95.8,110.4,110.8,22,21.4,4.4,5.4,9.2,8.4,87.8,86.6,0.4358000000000001,0.4084,37.8,34,0.3564,0.2892,26.2,21,0.748,0.7115999999999999,46.4,40.6,23.8,17.2,17,16.4
22100166,2021-11-10,1610612759,1610612758,0.4,0.6,117.8,111.8,110,112.2,29.8,23,6.2,5.2,9,6.2,97.8,91.2,0.4774,0.44939999999999997,33,34.6,0.3536,0.3448,19,22.6,0.7038,0.7988,46.6,44.4,22,21,12.2,12
